0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:16 +0800] "POST /jobReview/teacherGetStudentList.action HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:16 +0800] "POST /jobReview/teacherGetStudentList.action HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:17 +0800] "POST /jobReview/teacherGetStudentList.action HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:26 +0800] "POST /jobReview/teacherGetNotTaskList.action HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:28 +0800] "GET /jobReview/teacherToTaskManage.action HTTP/1.1" 200 6687
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:28 +0800] "GET /jobReview/js/taskManagerAdd.js HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:28 +0800] "GET /jobReview/js/taskManager.js HTTP/1.1" 200 3094
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:28 +0800] "GET /jobReview/js/taskManagerPaging.js HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:28 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:28 +0800] "POST /jobReview/teacherGetTaskCount.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:28 +0800] "POST /jobReview/teacherGetTaskList.action HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:34 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
